question,text,question_clean
How many days do you subtract to convert days from a calendar?,subtract one day,manydaysubtractconvertdaycalendar
When was the Paris Convention?,1883,parisconvention
How many number one DVD's has Queen released?,ten,manynumberonedvdqueenreleased
When does the monsoon season occur in New Delhi?,the middle of the summer,monsoonseasonoccurnewdelhi
What percent of Tajiks were killed during the war?,"Between 60,000(4%) and 120,000(8%)",percenttajikkilledwar
"The pub ""The Bag o'Nails"" was a corruption of what word?",Bacchanals,pubbagonailscorruptionword
What highway is Tucson's main power plant near?,Interstate-10,highwaytucsonmainpowerplantnear
What company annexed large areas of India in the 18th and 19th centuries?,British East India Company,companyannexedlargeareaindia18th19thcentury
"On what day were King Dom Carlos I and and his heir, Prince Royal Dom Luis Filipe, Duke of Braganza, murdered?",1 February 1908,daykingdomcarlosheirprinceroyaldomluisfilipedukebraganzamurdered
When was the Consumer Preview set to expire?,"January 15, 2013",consumerpreviewsetexpire
With what Belorussian city does Kathmandu have a relationship?,Minsk,belorussiancitykathmandurelationship
What was a function of distant country pubs before the rise of motor vehicles?,serving travellers as coaching inns,functiondistantcountrypubrisemotorvehicle
Are normal droppings also eaten? ,not eaten,normaldroppingsalsoeaten
When did Australia separate from Antarctica?,Eocene epoch,australiaseparateantarctica
What kind of condition is asthma?,a chronic obstructive condition,kindconditionasthma
What house was the founder of the Ottoman empire?,House of Osman,housefounderottomanempire
Where were drugs siphoned off to?,the black market,drugsiphoned
The empire ceased its expansion into what area after a battle in 1683?,Europe,empireceasedexpansionareabattle1683
What language is official in Valencia besides Valencian?,Spanish,languageofficialvalenciabesidesvalencian
Who removed the cap on cardinals in the College of the Cardinals?,Pope John XXIII,removedcapcardinalcollegecardinal
What does 'soo and maal' mean in English?,go and milk,soomaalmeanenglish
"What methods are highly sensitive, specifc and rapid tests used to identify microorganisms?",Serological,methodhighlysensitivespecifcrapidtestusedidentifymicroorganism
In what fishery group does Tuvalu participate? ,Pacific Island Forum Fisheries Agency,fisherygrouptuvaluparticipate
Who came in third on American Idol in season 14?,Jax,camethirdamericanidolseason14
Where did Cabrillo leave from to embark on his journey to the West Coast?,"Navidad, New Spain",cabrilloleaveembarkjourneywestcoast
In his review Schumann made note of Chopin's emotions for what?,Poland,reviewschumannmadenotechopinemotion
What was the largest demographic for readers of The Sun?,C2DE demographic,largestdemographicreadersun
At what age did Avicenna turn to away from philosophy?,16,ageavicennaturnawayphilosophy
"Due to the presence of coral reefs, what activities are popular in Biscayne Bay?",snorkeling and scuba diving,duepresencecoralreefactivitypopularbiscaynebay
What will people need to study for during Christ's millennial reign?,their final test at the end of the millennium,peopleneedstudychristmillennialreign
What did Apple begin offering as standard features meant for playing DVD's?,DVD-ROM and DVD-RAM drives,applebeginofferingstandardfeaturemeantplayingdvd
WHen was Black Wednesday?,September 1992,blackwednesday
What is the third hottest desert in the world?,The Sahara,thirdhottestdesertworld
How long was the war?,a decade,longwar
The submarine volcano was formed as part of the same proces as what two things?,"the floor of the Atlantic, and the Mid-Atlantic Ridge",submarinevolcanoformedpartprocestwothing
What was the name of the company that terminated withdrawals from three hedge funds in 2007 citing a liquidity crisis?,BNP Paribas,namecompanyterminatedwithdrawalthreehedgefund2007citingliquiditycrisis
How many classes of research does Woolf encourage?,three,manyclassresearchwoolfencourage
French communists voted for what?,war credits,frenchcommunistvoted
What was the child's name?,Blue Ivy Carter,childname
How many imported Chinese laborers were there at the peak of importation?,618,manyimportedchineselaborerpeakimportation
What kind of bird did Aristotle and Pliny the Elder write about?,cranes,kindbirdaristotleplinyelderwrite
The Dominican Order was also greatly helped by what German friar?,Albertus Magnus,dominicanorderalsogreatlyhelpedgermanfriar
What do computers attached to the ARPANET use for line endings?,CR-LF,computerattachedarpanetuselineending
What world leader notably visited Libya in 2002?,Jiang Zemin,worldleadernotablyvisitedlibya2002
What are some abbreviations for integrated circuits?,"IC, microchips or simply chips",abbreviationintegratedcircuit
What is a good way to boost the economy?,increase in deposits in member banks,goodwayboosteconomy
What are some prepatory schools for younger students ,"such as All Hallows, and Hazlegrove Preparatory School",prepatoryschoolyoungerstudent
What was the unemployment rate in the Siene-Saint-Denis department?,13.1,unemploymentratesienesaintdenisdepartment
"After 1782, where would money from Paymasters' withdrawal requests go?",the Bank of England,1782wouldmoneypaymasterwithdrawalrequestgo
What type of assault was there in Bosnia?,airborne,typeassaultbosnia
What pharaoh was captured by the group led by Camyses II?,Psamtik III,pharaohcapturedgroupledcamysesii
Who gave the first live war report?,William Howard Russell,gavefirstlivewarreport
Youtube depends on who to flag inappropriate videos?,users,youtubedependsflaginappropriatevideo
What was this new phase of neoclassicism?,Greek Revival,newphaseneoclassicism
How large is Riverbank State Park in acres?,28,largeriverbankstateparkacre
What form of government did Cesar seem to be attempting?,divine monarchy,formgovernmentcesarseemattempting
What two offices do Baptists have?,pastors and deacons,twoofficebaptist
What were the Jews described as enemies of?,Christ,jewdescribedenemy
When was a chair created for anthropology at the National Museum of Natural History?,1850,chaircreatedanthropologynationalmuseumnaturalhistory
A balun should be integrated into what?,matching network,balunintegrated
Who released Mosaic?,Marc Andreessen,releasedmosaic
What is the Kerrison Predictor's official name?,The Predictor AA No 3,kerrisonpredictorofficialname
What financial form must be filed with both the state and federal governments each year?,IRS Form 990,financialformmustfiledstatefederalgovernmentyear
What type of foods are generally thought of as a part of Hyderabadi cuisine?,"rice, wheat and meat dishes",typefoodgenerallythoughtparthyderabadicuisine
What is the combined total capacity of all stadiums in the Premier League as of 2011?,"770,477",combinedtotalcapacitystadiumpremierleague2011
What is the simplest case of an ISP using an upstream ISP? ,transmit data to or from areas of the Internet beyond the home network,simplestcaseispusingupstreamisp
What was Syria like under Sarraj?,police state,syrialikesarraj
"Where do some adolescents feel is a safe place to seek out romantic relationships, try out dating and indentity exploration?",social media,adolescentfeelsafeplaceseekromanticrelationshiptrydatingindentityexploration
What has been growing in the recent years?,economy,growingrecentyear
"Besides birds, what large animals travel from one pole to the other?",cetaceans,besidesbirdlargeanimaltravelonepole
The famous artists Sosus was from what area?,Pergamon,famousartistsosusarea
When did the era of planning start in Himachal Pradesh?,1948,eraplanningstarthimachalpradesh
Why were decoy towns used in WW2,"decoy towns were constructed in Somerset in World War II to protect Bristol and other towns, at night",decoytownusedww2
What did the ancient Romans expect after death?,afterlife,ancientromanexpectdeath
What programming language uses UTF-32 as internal representation of characters? ,Seed7,programminglanguageusutf32internalrepresentationcharacter
By when had the Maratha kingdom become an empire?,early 18th century,marathakingdombecomeempire
"In the original experiment in which the properties of capacitors were discovered, what component acted as the dielectric? ",a hand-held glass jar,originalexperimentpropertycapacitordiscoveredcomponentacteddielectric
Who were the two National Assembly vice-presidents in Egypt?,Boghdadi and Amer,twonationalassemblyvicepresidentsegypt
"Of the final two, which was an early favorite to win?",Justin Guarini,finaltwoearlyfavoritewin
What language did the western church use?,Latin,languagewesternchurchuse
The same leaked communication revealed Shell claimed to know what?,"""everything that was being done in those ministries""",leakedcommunicationrevealedshellclaimedknow
Where does Miami rank in terms of US Spanish-speaking populations?,second,miamiranktermuspanishspeakingpopulation
Where do off-grid PV systems store excess electricity?,rechargeable batteries,offgridpvsystemstoreexcesselectricity
Wooster Square is known for what roots?,Italian-American,woostersquareknownroot
How did Nasser die?,heart attack,nasserdie
How much of Greece's economy is comprised of industrial sectors?,13.3%,muchgreeceeconomycomprisedindustrialsector
When did Madonna appear in the play Up For Grabs at the Wyndhams Theatre?,May 2002,madonnaappearplaygrabwyndhamstheatre
